npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/11/2026 9:03:01 AM ::1 GET /en
 HTTP  3/11/2026 9:03:01 AM ::1 Returned 200 in 346 ms
 HTTP  3/11/2026 9:03:02 AM ::1 GET /brand/banner.jpg
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/css/77d9bf6723f691a9.css
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 5 ms
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/webpack-8240b6f60dc9354d.js
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/6821f731-3c8a9bf7deacadfd.js
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/3657-d276eb2c9c4eaccc.js
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/main-app-2bb661794e97a858.js
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/7235-6c4d643e94a2f39d.js
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/1860-b6e149d42286baa6.js
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 17 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 15 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 15 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 14 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 25 ms
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 29 ms
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/1107-ba682fc4d16f3083.js
 HTTP  3/11/2026 9:03:02 AM ::1 Returned 200 in 17 ms
 HTTP  3/11/2026 9:03:02 AM ::1 GET /_next/static/chunks/app/layout-9f4be90929148007.js
